"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年12月01日","6,761.0","6,743.0","6,828.0","6,656.0","4.21M","1.09%"
"2021年11月30日","6,688.0","6,922.0","7,054.0","6,688.0","10.08M","-4.05%"
"2021年11月29日","6,970.0","6,937.0","7,080.0","6,924.0","3.80M","-1.65%"
"2021年11月26日","7,087.0","7,280.0","7,299.0","7,061.0","3.41M","-2.92%"
"2021年11月25日","7,300.0","7,307.0","7,409.0","7,287.0","2.39M","0.23%"
"2021年11月24日","7,283.0","7,360.0","7,460.0","7,261.0","4.26M","-0.63%"
"2021年11月22日","7,329.0","7,243.0","7,353.0","7,221.0","2.30M","0.55%"
"2021年11月19日","7,289.0","7,259.0","7,354.0","7,250.0","3.60M","1.19%"
"2021年11月18日","7,203.0","7,269.0","7,270.0","7,116.0","2.62M","-0.48%"
"2021年11月17日","7,238.0","7,339.0","7,367.0","7,220.0","3.39M","-1.72%"
"2021年11月16日","7,365.0","7,325.0","7,403.0","7,307.0","3.07M","1.28%"
"2021年11月15日","7,272.0","7,313.0","7,330.0","7,242.0","2.80M","-0.37%"
"2021年11月12日","7,299.0","7,165.0","7,299.0","7,157.0","3.15M","2.67%"
"2021年11月11日","7,109.0","6,980.0","7,133.0","6,967.0","2.19M","1.35%"
"2021年11月10日","7,014.0","7,065.0","7,088.0","7,012.0","1.87M","-0.06%"
"2021年11月09日","7,018.0","7,212.0","7,239.0","6,992.0","2.64M","-1.31%"
"2021年11月08日","7,111.0","7,080.0","7,239.0","7,080.0","3.44M","1.43%"
"2021年11月05日","7,011.0","6,909.0","7,011.0","6,887.0","3.66M","1.76%"
"2021年11月04日","6,890.0","6,710.0","6,922.0","6,691.0","4.10M","1.82%"
"2021年11月02日","6,767.0","6,758.0","6,797.0","6,729.0","2.79M","-0.47%"
"2021年11月01日","6,799.0","6,654.0","6,799.0","6,619.0","4.13M","3.74%"
"2021年10月29日","6,554.0","6,584.0","6,650.0","6,524.0","4.69M","-1.44%"
"2021年10月28日","6,650.0","6,501.0","6,737.0","6,425.0","5.67M","-1.92%"
"2021年10月27日","6,780.0","6,823.0","6,825.0","6,692.0","2.67M","0.07%"
"2021年10月26日","6,775.0","6,832.0","6,868.0","6,769.0","2.36M","0.64%"
"2021年10月25日","6,732.0","6,649.0","6,809.0","6,646.0","1.98M","0.70%"
