"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年01月04日","4,025.0","4,115.0","4,115.0","3,966.0","1.88M","-0.98%"
"2020年12月30日","4,065.0","4,061.0","4,097.0","4,042.0","1.95M","0.12%"
"2020年12月29日","4,060.0","4,085.0","4,094.0","4,028.0","2.13M","0.37%"
"2020年12月28日","4,045.0","4,028.0","4,055.0","3,998.0","1.61M","0.35%"
"2020年12月25日","4,031.0","4,025.0","4,052.0","4,010.0","1.27M","-0.20%"
"2020年12月24日","4,039.0","4,069.0","4,071.0","4,028.0","1.45M","0.82%"
"2020年12月23日","4,006.0","4,005.0","4,038.0","3,976.0","1.85M","-0.94%"
"2020年12月22日","4,044.0","4,100.0","4,107.0","4,025.0","2.68M","-3.28%"
"2020年12月21日","4,181.0","4,230.0","4,263.0","4,158.0","1.74M","-0.55%"
"2020年12月18日","4,204.0","4,185.0","4,222.0","4,180.0","4.74M","0.33%"
"2020年12月17日","4,190.0","4,210.0","4,227.0","4,186.0","2.30M","0.22%"
"2020年12月16日","4,181.0","4,206.0","4,214.0","4,169.0","2.43M","0.31%"
"2020年12月15日","4,168.0","4,165.0","4,177.0","4,122.0","2.62M","-0.14%"
"2020年12月14日","4,174.0","4,185.0","4,218.0","4,166.0","2.85M","0.68%"
"2020年12月11日","4,146.0","4,205.0","4,211.0","4,125.0","3.77M","-1.45%"
"2020年12月10日","4,207.0","4,240.0","4,292.0","4,201.0","5.27M","-0.05%"
"2020年12月09日","4,209.0","4,111.0","4,230.0","4,100.0","4.34M","4.23%"
"2020年12月08日","4,038.0","4,060.0","4,085.0","4,032.0","1.77M","-0.66%"
"2020年12月07日","4,065.0","4,150.0","4,157.0","4,065.0","3.13M","-0.83%"
"2020年12月04日","4,099.0","4,022.0","4,099.0","4,014.0","2.74M","0.81%"
"2020年12月03日","4,066.0","4,034.0","4,080.0","4,022.0","2.27M","1.32%"
"2020年12月02日","4,013.0","4,055.0","4,056.0","3,996.0","3.11M","1.16%"
"2020年12月01日","3,967.0","3,903.0","3,982.0","3,897.0","2.86M","0.03%"
"2020年11月30日","3,966.0","4,085.0","4,087.0","3,939.0","5.58M","-2.96%"
"2020年11月27日","4,087.0","4,031.0","4,120.0","4,030.0","3.55M","0.59%"
"2020年11月26日","4,063.0","3,951.0","4,064.0","3,950.0","2.93M","1.50%"
"2020年11月25日","4,003.0","4,051.0","4,090.0","3,993.0","3.70M","0.55%"
"2020年11月24日","3,981.0","3,996.0","4,025.0","3,967.0","3.73M","0.48%"
"2020年11月20日","3,962.0","3,960.0","3,977.0","3,911.0","2.42M","-0.03%"
"2020年11月19日","3,963.0","3,920.0","3,968.0","3,866.0","3.60M","0.05%"
"2020年11月18日","3,961.0","3,950.0","4,005.0","3,932.0","3.58M","-0.23%"
"2020年11月17日","3,970.0","4,012.0","4,012.0","3,938.0","4.62M","2.53%"
"2020年11月16日","3,872.0","3,864.0","3,900.0","3,820.0","5.67M","-0.51%"
"2020年11月13日","3,892.0","3,949.0","3,966.0","3,871.0","3.57M","-3.16%"
"2020年11月12日","4,019.0","4,021.0","4,080.0","3,986.0","3.63M","-1.50%"
"2020年11月11日","4,080.0","3,970.0","4,085.0","3,963.0","7.85M","5.15%"
"2020年11月10日","3,880.0","3,731.0","3,938.0","3,720.0","9.40M","8.05%"
"2020年11月09日","3,591.0","3,548.0","3,606.0","3,548.0","2.18M","0.76%"
"2020年11月06日","3,564.0","3,542.0","3,580.0","3,532.0","3.21M","0.06%"
"2020年11月05日","3,562.0","3,580.0","3,584.0","3,523.0","2.88M","-0.42%"
"2020年11月04日","3,577.0","3,609.0","3,656.0","3,569.0","3.69M","1.68%"
"2020年11月02日","3,518.0","3,532.0","3,591.0","3,511.0","3.21M","0.46%"
"2020年10月30日","3,502.0","3,677.0","3,680.0","3,481.0","5.43M","-5.33%"
"2020年10月29日","3,699.0","3,601.0","3,714.0","3,591.0","4.80M","4.29%"
"2020年10月28日","3,547.0","3,586.0","3,591.0","3,547.0","3.65M","-2.61%"
"2020年10月27日","3,642.0","3,628.0","3,642.0","3,573.0","2.33M","-0.71%"
"2020年10月26日","3,668.0","3,657.0","3,705.0","3,646.0","2.46M","0.49%"
"2020年10月23日","3,650.0","3,571.0","3,656.0","3,543.0","2.90M","2.82%"
"2020年10月22日","3,550.0","3,561.0","3,593.0","3,540.0","2.79M","-1.58%"
"2020年10月21日","3,607.0","3,555.0","3,621.0","3,546.0","2.31M","2.18%"
"2020年10月20日","3,530.0","3,572.0","3,574.0","3,522.0","1.70M","-1.70%"
"2020年10月19日","3,591.0","3,580.0","3,612.0","3,571.0","1.43M","1.15%"
"2020年10月16日","3,550.0","3,607.0","3,607.0","3,550.0","2.27M","-0.08%"
"2020年10月15日","3,553.0","3,554.0","3,574.0","3,526.0","2.19M","-0.03%"
"2020年10月14日","3,554.0","3,603.0","3,603.0","3,551.0","2.17M","-1.90%"
"2020年10月13日","3,623.0","3,630.0","3,648.0","3,603.0","2.74M","0.86%"
"2020年10月12日","3,592.0","3,632.0","3,636.0","3,591.0","1.90M","-1.59%"
"2020年10月09日","3,650.0","3,699.0","3,699.0","3,641.0","2.07M","-0.73%"
"2020年10月08日","3,677.0","3,665.0","3,698.0","3,651.0","2.40M","0.03%"
"2020年10月07日","3,676.0","3,659.0","3,679.0","3,641.0","1.63M","-0.27%"
"2020年10月06日","3,686.0","3,652.0","3,692.0","3,649.0","2.74M","0.99%"
"2020年10月05日","3,650.0","3,571.0","3,650.0","3,563.0","3.66M","4.05%"
"2020年10月02日","3,508.0","3,543.0","3,597.0","3,488.0","3.24M","-0.99%"
"2020年09月30日","3,543.0","3,614.0","3,641.0","3,543.0","4.31M","-3.54%"
"2020年09月29日","3,673.0","3,701.0","3,719.0","3,658.0","2.73M","-1.40%"
"2020年09月28日","3,725.0","3,642.0","3,725.0","3,641.0","4.01M","3.24%"
"2020年09月25日","3,608.0","3,588.0","3,627.0","3,570.0","4.43M","1.12%"
"2020年09月24日","3,568.0","3,623.0","3,635.0","3,549.0","4.55M","-3.28%"
"2020年09月23日","3,689.0","3,610.0","3,713.0","3,610.0","3.00M","0.57%"
"2020年09月18日","3,668.0","3,680.0","3,705.0","3,665.0","3.22M","-0.38%"
"2020年09月17日","3,682.0","3,699.0","3,729.0","3,679.0","3.06M","-0.62%"
"2020年09月16日","3,705.0","3,723.0","3,734.0","3,691.0","2.55M","-1.67%"
"2020年09月15日","3,768.0","3,721.0","3,789.0","3,712.0","2.90M","0.13%"
"2020年09月14日","3,763.0","3,751.0","3,778.0","3,743.0","2.44M","1.65%"
"2020年09月11日","3,702.0","3,724.0","3,726.0","3,667.0","3.17M","-0.30%"
"2020年09月10日","3,713.0","3,640.0","3,713.0","3,636.0","3.41M","2.71%"
"2020年09月09日","3,615.0","3,572.0","3,626.0","3,564.0","3.21M","0.36%"
"2020年09月08日","3,602.0","3,587.0","3,609.0","3,576.0","2.01M","1.04%"
"2020年09月07日","3,565.0","3,552.0","3,590.0","3,545.0","2.30M","0.31%"
"2020年09月04日","3,554.0","3,499.0","3,560.0","3,494.0","2.53M","0.14%"
"2020年09月03日","3,549.0","3,522.0","3,558.0","3,522.0","2.82M","1.87%"
"2020年09月02日","3,484.0","3,484.0","3,484.0","3,440.0","2.54M","0.78%"
"2020年09月01日","3,457.0","3,502.0","3,510.0","3,407.0","3.55M","-2.07%"
"2020年08月31日","3,530.0","3,540.0","3,578.0","3,527.0","2.64M","0.00%"
"2020年08月28日","3,530.0","3,543.0","3,604.0","3,493.0","4.53M","-0.25%"
"2020年08月27日","3,539.0","3,533.0","3,572.0","3,524.0","1.88M","-0.06%"
"2020年08月26日","3,541.0","3,527.0","3,560.0","3,523.0","2.41M","-1.09%"
"2020年08月25日","3,580.0","3,560.0","3,615.0","3,550.0","2.94M","2.31%"
"2020年08月24日","3,499.0","3,525.0","3,525.0","3,473.0","2.26M","-1.24%"
"2020年08月21日","3,543.0","3,577.0","3,621.0","3,537.0","2.51M","-0.08%"
"2020年08月20日","3,546.0","3,479.0","3,592.0","3,479.0","4.16M","0.68%"
"2020年08月19日","3,522.0","3,497.0","3,564.0","3,486.0","2.74M","-0.14%"
"2020年08月18日","3,527.0","3,538.0","3,565.0","3,497.0","3.79M","-1.78%"
"2020年08月17日","3,591.0","3,537.0","3,602.0","3,536.0","2.38M","1.15%"
"2020年08月14日","3,550.0","3,556.0","3,589.0","3,546.0","2.15M","-0.31%"
"2020年08月13日","3,561.0","3,589.0","3,590.0","3,541.0","3.02M","-0.06%"
"2020年08月12日","3,563.0","3,538.0","3,571.0","3,503.0","3.33M","1.54%"
"2020年08月11日","3,509.0","3,390.0","3,513.0","3,388.0","4.17M","5.69%"
"2020年08月07日","3,320.0","3,360.0","3,374.0","3,293.0","2.59M","-2.09%"
"2020年08月06日","3,391.0","3,370.0","3,454.0","3,370.0","2.38M","0.18%"
"2020年08月05日","3,385.0","3,284.0","3,392.0","3,283.0","3.73M","3.20%"
"2020年08月04日","3,280.0","3,274.0","3,305.0","3,254.0","2.89M","0.18%"
"2020年08月03日","3,274.0","3,159.0","3,275.0","3,133.0","3.63M","4.67%"
"2020年07月31日","3,128.0","3,218.0","3,224.0","3,122.0","5.74M","-1.04%"
"2020年07月30日","3,161.0","3,135.0","3,190.0","3,135.0","3.10M","-0.44%"
"2020年07月29日","3,175.0","3,225.0","3,243.0","3,171.0","3.48M","-3.05%"
"2020年07月28日","3,275.0","3,314.0","3,334.0","3,275.0","3.15M","-1.95%"
"2020年07月27日","3,340.0","3,294.0","3,354.0","3,282.0","4.10M","-1.74%"
"2020年07月22日","3,399.0","3,439.0","3,440.0","3,399.0","3.75M","-2.30%"
"2020年07月21日","3,479.0","3,545.0","3,547.0","3,448.0","3.74M","-0.60%"
"2020年07月20日","3,500.0","3,567.0","3,571.0","3,485.0","3.13M","-0.65%"
"2020年07月17日","3,523.0","3,520.0","3,595.0","3,508.0","5.38M","2.68%"
"2020年07月16日","3,431.0","3,405.0","3,451.0","3,389.0","3.04M","-0.64%"
"2020年07月15日","3,453.0","3,438.0","3,479.0","3,422.0","2.35M","1.47%"
"2020年07月14日","3,403.0","3,382.0","3,416.0","3,374.0","2.74M","-0.18%"
"2020年07月13日","3,409.0","3,424.0","3,431.0","3,390.0","2.58M","2.00%"
"2020年07月10日","3,342.0","3,390.0","3,393.0","3,342.0","3.00M","-1.24%"
"2020年07月09日","3,384.0","3,402.0","3,425.0","3,369.0","2.54M","-0.21%"
"2020年07月08日","3,391.0","3,419.0","3,452.0","3,391.0","2.65M","-1.82%"
"2020年07月07日","3,454.0","3,497.0","3,498.0","3,424.0","3.13M","-1.23%"
"2020年07月06日","3,497.0","3,430.0","3,509.0","3,401.0","3.95M","3.31%"
"2020年07月03日","3,385.0","3,346.0","3,402.0","3,336.0","2.86M","1.80%"
"2020年07月02日","3,325.0","3,306.0","3,358.0","3,284.0","2.99M","-0.81%"
"2020年07月01日","3,352.0","3,437.0","3,439.0","3,343.0","2.38M","-1.50%"
"2020年06月30日","3,403.0","3,460.0","3,481.0","3,399.0","3.21M","0.24%"
"2020年06月29日","3,395.0","3,390.0","3,405.0","3,351.0","3.90M","-1.54%"
"2020年06月26日","3,448.0","3,414.0","3,457.0","3,403.0","2.53M","1.41%"
"2020年06月25日","3,400.0","3,400.0","3,434.0","3,378.0","3.51M","-2.19%"
"2020年06月24日","3,476.0","3,500.0","3,513.0","3,474.0","2.75M","-1.47%"
"2020年06月23日","3,528.0","3,498.0","3,554.0","3,441.0","2.89M","1.97%"
"2020年06月22日","3,460.0","3,454.0","3,496.0","3,442.0","1.57M","-0.83%"
"2020年06月19日","3,489.0","3,532.0","3,534.0","3,465.0","4.12M","-1.50%"
"2020年06月18日","3,542.0","3,500.0","3,560.0","3,487.0","2.43M","-0.67%"
"2020年06月17日","3,566.0","3,606.0","3,623.0","3,554.0","2.27M","-0.83%"
"2020年06月16日","3,596.0","3,550.0","3,626.0","3,521.0","4.29M","4.99%"
"2020年06月15日","3,425.0","3,521.0","3,538.0","3,422.0","3.42M","-4.14%"
"2020年06月12日","3,573.0","3,417.0","3,592.0","3,403.0","5.76M","1.28%"
"2020年06月11日","3,528.0","3,586.0","3,632.0","3,516.0","5.63M","-4.88%"
"2020年06月10日","3,709.0","3,705.0","3,755.0","3,700.0","2.82M","-1.38%"
"2020年06月09日","3,761.0","3,716.0","3,766.0","3,681.0","3.56M","0.21%"
"2020年06月08日","3,753.0","3,823.0","3,845.0","3,741.0","5.89M","-0.21%"
"2020年06月05日","3,761.0","3,710.0","3,802.0","3,692.0","5.57M","2.70%"
"2020年06月04日","3,662.0","3,724.0","3,725.0","3,611.0","3.58M","0.03%"
"2020年06月03日","3,661.0","3,720.0","3,755.0","3,640.0","4.67M","0.58%"
"2020年06月02日","3,640.0","3,600.0","3,686.0","3,592.0","5.39M","1.70%"
"2020年06月01日","3,579.0","3,600.0","3,600.0","3,484.0","4.97M","3.59%"
"2020年05月29日","3,455.0","3,497.0","3,525.0","3,410.0","6.48M","-3.49%"
"2020年05月28日","3,580.0","3,536.0","3,620.0","3,525.0","5.44M","4.22%"
"2020年05月27日","3,435.0","3,399.0","3,474.0","3,388.0","3.56M","0.76%"
"2020年05月26日","3,409.0","3,315.0","3,465.0","3,296.0","3.92M","4.47%"
"2020年05月25日","3,263.0","3,257.0","3,270.0","3,232.0","1.19M","1.97%"
"2020年05月22日","3,200.0","3,197.0","3,239.0","3,166.0","2.49M","-1.08%"
"2020年05月21日","3,235.0","3,298.0","3,320.0","3,232.0","2.66M","-0.80%"
"2020年05月20日","3,261.0","3,212.0","3,274.0","3,201.0","2.45M","0.25%"
"2020年05月19日","3,253.0","3,230.0","3,279.0","3,209.0","3.62M","4.63%"
"2020年05月18日","3,109.0","3,077.0","3,124.0","3,064.0","1.95M","0.65%"
"2020年05月15日","3,089.0","3,135.0","3,156.0","3,062.0","2.44M","0.00%"
"2020年05月14日","3,089.0","3,184.0","3,198.0","3,082.0","2.92M","-3.74%"
"2020年05月13日","3,209.0","3,227.0","3,238.0","3,175.0","3.26M","-2.05%"
"2020年05月12日","3,276.0","3,244.0","3,291.0","3,214.0","3.40M","0.24%"
"2020年05月11日","3,268.0","3,234.0","3,300.0","3,231.0","2.66M","1.97%"
"2020年05月08日","3,205.0","3,143.0","3,219.0","3,115.0","3.00M","4.13%"
"2020年05月07日","3,078.0","3,074.0","3,088.0","3,050.0","2.85M","-0.55%"
"2020年05月01日","3,095.0","3,204.0","3,208.0","3,078.0","3.34M","-4.50%"
"2020年04月30日","3,241.0","3,202.0","3,281.0","3,181.0","6.79M","6.19%"
"2020年04月28日","3,052.0","2,997.0","3,062.0","2,984.0","2.82M","0.16%"
"2020年04月27日","3,047.0","2,910.0","3,050.0","2,908.0","3.73M","4.73%"
"2020年04月24日","2,909.5","2,894.5","2,913.5","2,859.5","3.38M","0.50%"
"2020年04月23日","2,895.0","2,900.0","2,922.0","2,855.0","3.98M","0.17%"
"2020年04月22日","2,890.0","2,990.0","2,991.5","2,868.0","4.78M","-4.97%"
"2020年04月21日","3,041.0","3,027.0","3,081.0","3,023.0","3.09M","-0.85%"
"2020年04月20日","3,067.0","3,038.0","3,092.0","3,032.0","2.06M","-1.32%"
"2020年04月17日","3,108.0","3,103.0","3,188.0","3,085.0","2.85M","1.40%"
"2020年04月16日","3,065.0","3,100.0","3,100.0","3,029.0","2.84M","-2.67%"
"2020年04月15日","3,149.0","3,164.0","3,181.0","3,114.0","2.41M","-0.38%"
"2020年04月14日","3,161.0","3,063.0","3,174.0","3,058.0","2.48M","2.66%"
"2020年04月13日","3,079.0","3,050.0","3,113.0","3,044.0","1.96M","-1.57%"
"2020年04月10日","3,128.0","3,157.0","3,157.0","3,051.0","3.06M","-1.23%"
"2020年04月09日","3,167.0","3,211.0","3,212.0","3,130.0","2.62M","0.54%"
"2020年04月08日","3,150.0","3,107.0","3,188.0","3,061.0","3.72M","0.38%"
"2020年04月07日","3,138.0","3,166.0","3,218.0","3,057.0","3.87M","2.42%"
"2020年04月06日","3,064.0","2,948.5","3,077.0","2,920.0","5.82M","4.38%"
"2020年04月03日","2,935.5","2,947.0","3,014.0","2,900.0","3.85M","-0.74%"
"2020年04月02日","2,957.5","2,936.0","3,002.0","2,907.5","5.86M","-3.82%"
"2020年04月01日","3,075.0","3,101.0","3,216.0","3,026.0","5.43M","-2.16%"
